Date,Close,Open,High,Low
03/28/2024,171.48,171.75,172.23,170.51
03/27/2024,173.31,170.41,173.6,170.11
03/26/2024,169.71,170,171.42,169.58
03/25/2024,170.85,170.57,171.94,169.45
03/22/2024,172.28,171.76,173.05,170.06
03/21/2024,171.37,177.05,177.49,170.84
03/20/2024,178.67,175.72,178.67,175.09
03/19/2024,176.08,174.34,176.6,173.03
03/18/2024,173.72,175.57,177.71,173.52
03/15/2024,172.62,171.17,172.62,170.29
03/14/2024,173,172.91,174.31,172.05
03/13/2024,171.13,172.77,173.18,170.76
03/12/2024,173.23,173.15,174.03,171.01
03/11/2024,172.75,172.94,174.38,172.05
03/08/2024,170.73,169,173.7,168.94
03/07/2024,169,169.15,170.73,168.49
03/06/2024,169.12,171.06,171.24,168.68
03/05/2024,170.12,170.76,172.04,169.62
03/04/2024,175.1,176.15,176.9,173.79
03/01/2024,179.66,179.55,180.53,177.38
02/29/2024,180.75,181.27,182.57,179.53
02/28/2024,181.42,182.51,183.12,180.13
02/27/2024,182.63,181.1,183.92,179.56
02/26/2024,181.16,182.24,182.76,180.65
02/23/2024,182.52,185.01,185.04,182.23
02/22/2024,184.37,183.48,184.96,182.46
02/21/2024,182.32,181.94,182.89,180.66
02/20/2024,181.56,181.79,182.43,180
02/16/2024,182.31,183.42,184.85,181.66
02/15/2024,183.86,183.55,184.49,181.35
02/14/2024,184.15,185.32,185.53,182.44
02/13/2024,185.04,185.77,186.21,183.51
02/12/2024,187.15,188.41,188.67,186.79
02/09/2024,188.85,188.65,189.99,188
02/08/2024,188.32,189.38,189.54,187.35
02/07/2024,189.41,190.64,191.05,188.61
02/06/2024,189.3,186.86,189.31,186.77
02/05/2024,187.68,188.15,189.25,185.84
02/02/2024,185.85,179.86,187.33,179.25
02/01/2024,186.86,183.99,186.95,183.82
01/31/2024,184.4,187.04,187.1,184.35
01/30/2024,188.04,190.94,191.8,187.47
01/29/2024,191.73,192.01,192.2,189.58
01/26/2024,192.42,194.27,194.76,191.94
01/25/2024,194.17,195.22,196.27,193.11
01/24/2024,194.5,195.42,196.38,194.34
01/23/2024,195.18,195.02,195.75,193.83
01/22/2024,193.89,192.3,195.33,192.26
01/19/2024,191.56,189.33,191.95,188.82
01/18/2024,188.63,186.09,189.14,185.83
01/17/2024,182.68,181.27,182.93,180.3
01/16/2024,183.63,182.16,184.26,180.93
01/12/2024,185.92,186.06,186.74,185.19
01/11/2024,185.59,186.54,187.05,183.62
01/10/2024,186.19,184.35,186.4,183.92
01/09/2024,185.14,183.92,185.15,182.73
01/08/2024,185.56,182.09,185.6,181.5
01/05/2024,181.18,181.99,182.76,180.17
01/04/2024,181.91,182.15,183.09,180.88
01/03/2024,184.25,184.22,185.88,183.43
01/02/2024,185.64,187.15,188.44,183.88
12/29/2023,192.53,193.9,194.4,191.73
12/28/2023,193.58,194.14,194.66,193.17
12/27/2023,193.15,192.49,193.5,191.09
12/26/2023,193.05,193.61,193.89,192.83
12/22/2023,193.6,195.18,195.41,192.97
12/21/2023,194.68,196.1,197.08,193.5
12/20/2023,194.83,196.9,197.68,194.83
12/19/2023,196.94,196.16,196.95,195.89
12/18/2023,195.89,196.09,196.63,194.39
12/15/2023,197.57,197.53,198.4,197
12/14/2023,198.11,198.02,199.62,196.16
12/13/2023,197.96,195.09,198,194.85
12/12/2023,194.71,193.08,194.72,191.72
12/11/2023,193.18,193.11,193.49,191.42
12/08/2023,195.71,194.2,195.99,193.67
12/07/2023,194.27,193.63,195,193.59
